run_id,category,status,primary_summary,selected_mode,case_count,m1_numerator,m1_denominator,m1,m2_numerator,m2_denominator,m2,real_llm_case_count,structured_scope_valid_count,call_count,fallback_count,transport_failure_count,response_validation_failure_count,validation_opened,blind_2025_outcome_accessed,summary_artifact_count
autonomous/batch004_fresh_checkpoint,autonomous,complete,ablation_summary.json,gated,10,10,30,0.3333333333333333,15,48,0.3125,10,37,40,3,0,3,False,False,5
autonomous/batch004_refined/ipo_2020_01961,autonomous,complete,ablation_summary.json,offline,1,0,3,0.0,0,5,0.0,10,37,40,3,0,3,False,False,5
autonomous/batch004_refined_fixed10,autonomous,complete,ablation_summary.json,offline,10,8,30,0.26666666666666666,12,48,0.25,10,37,40,3,0,3,False,False,5
autonomous/batch004_targeted/ipo_2020_00368,autonomous,complete,ablation_summary.json,offline,1,0,3,0.0,0,8,0.0,10,37,40,3,0,3,False,False,5
autonomous/batch004_targeted/ipo_2020_01961,autonomous,complete,ablation_summary.json,offline,1,0,3,0.0,0,5,0.0,10,37,40,3,0,3,False,False,5
autonomous/batch004_targeted/ipo_2020_09600,autonomous,complete,ablation_summary.json,offline,1,0,3,0.0,1,3,0.3333333333333333,10,37,40,3,0,3,False,False,5
autonomous/batch004_targeted/ipo_2021_01024,autonomous,complete,ablation_summary.json,offline,1,2,3,0.6666666666666666,2,5,0.4,10,37,40,3,0,3,False,False,5
autonomous/batch004_targeted/ipo_2021_02190,autonomous,complete,ablation_summary.json,offline,1,1,4,0.25,3,8,0.375,10,37,40,3,0,3,False,False,5
autonomous/batch004_targeted/ipo_2022_06610,autonomous,complete,ablation_summary.json,offline,1,0,3,0.0,0,3,0.0,10,37,40,3,0,3,False,False,5
autonomous/batch004_targeted/ipo_2023_06682,autonomous,complete,ablation_summary.json,offline,1,1,2,0.5,2,3,0.6666666666666666,10,37,40,3,0,3,False,False,5
autonomous/batch005_fixed10,autonomous,complete,ablation_summary.json,offline,10,8,30,0.26666666666666666,13,48,0.2708333333333333,10,38,40,2,0,2,False,False,5
autonomous/batch005_fixed10_canonical,autonomous,complete,ablation_summary.json,offline,10,8,30,0.26666666666666666,13,48,0.2708333333333333,10,37,40,3,0,3,False,False,5
autonomous/batch005_fresh_checkpoint,autonomous,complete,ablation_summary.json,gated,10,11,30,0.36666666666666664,17,48,0.3541666666666667,10,38,40,2,0,2,False,False,5
autonomous/batch005_probe_09600,autonomous,complete,ablation_summary.json,offline,1,0,3,0.0,2,3,0.6666666666666666,10,38,40,2,0,2,False,False,5
autonomous/batch005_probe_09600_v2,autonomous,complete,ablation_summary.json,offline,1,0,3,0.0,2,3,0.6666666666666666,10,38,40,2,0,2,False,False,5
autonomous/batch005_probe_09600_v3,autonomous,complete,ablation_summary.json,offline,1,0,3,0.0,2,3,0.6666666666666666,10,38,40,2,0,2,False,False,5
autonomous/batch006_period_audit,autonomous,complete,period_selection_audit_summary.json,,,,,,,,,,,,,,,False,,1
autonomous/batch008_controls,autonomous,complete,ablation_summary.json,offline,3,2,9,0.2222222222222222,5,14,0.35714285714285715,10,37,40,3,0,3,False,False,5
autonomous/batch008_fixed10,autonomous,complete,ablation_summary.json,offline,10,9,30,0.3,15,48,0.3125,10,37,40,3,0,3,False,False,5
autonomous/batch008_targeted_after_cash,autonomous,complete,ablation_summary.json,offline,2,1,6,0.16666666666666666,2,13,0.15384615384615385,10,37,40,3,0,3,False,False,5
autonomous/batch008_targeted_baseline,autonomous,complete,ablation_summary.json,offline,2,0,6,0.0,0,13,0.0,10,37,40,3,0,3,False,False,5
autonomous/batch009_latest_main_baseline,autonomous,complete,ablation_summary.json,offline,10,9,30,0.3,15,48,0.3125,10,37,40,3,0,3,False,False,5
autonomous/batch009_legal_lifecycle_fix,autonomous,complete,ablation_summary.json,offline,10,9,30,0.3,15,48,0.3125,10,37,40,3,0,3,False,False,5
autonomous/batch009_ranked_table_fix/batch009_ranked_table_fix,autonomous,complete,ablation_summary.json,offline,10,9,30,0.3,15,48,0.3125,10,37,40,3,0,3,False,False,5
autonomous/batch011_dev40_conversion_matrix,autonomous,complete,financial_conversion_summary.json,,,,,,,,,,,,,,,False,False,1
batch003,batch003,complete,period_selection_audit_summary.json,,,,,,,,,,,,,,,False,,2
batch003/audit_initial,batch003,complete,period_selection_audit_summary.json,,,,,,,,,,,,,,,False,,1
batch003/current,batch003,complete,period_selection_audit_summary.json,,,,,,,,,,,,,,,False,,1
batch003/integration/batch003_integration_floor,batch003,complete,ablation_summary.json,offline,10,6,30,0.2,9,48,0.1875,10,37,40,3,0,3,False,False,5
batch004,batch004,complete,fresh_checkpoint_summary.json,,10,,,,,,,,,,,,,False,,2
batch005,batch005,complete,fresh_checkpoint_summary.json,,10,,,,,,,,,,,,,False,,2
batch008,batch008,complete,fixed_journal_summary.json,,10,,,,,,,,,,,,,False,False,1
batch009,batch009,complete,fixed_journal_summary.json,,,,,,,,,,,,,,,,,1
batch009/period_audit_pre,batch009,complete,period_selection_audit_summary.json,,,,,,,,,,,,,,,False,,1
diagnostics/batch080_gold_source_alignment,diagnostics,complete,root_alignment_summary.json,,,,,,,,,,,,,,,False,False,1
diagnostics/identity_00368,diagnostics,complete,ablation_summary.json,gated,1,0,3,0.0,0,8,0.0,0,0,0,0,0,0,False,False,5
diagnostics/postfix_00368,diagnostics,complete,ablation_summary.json,gated,1,0,3,0.0,0,8,0.0,1,2,2,0,0,0,False,False,5
financial_conversion/batch002_post_deterministic,financial_conversion,complete,financial_conversion_summary.json,,,,,,,,,,,,,,,False,,1
financial_conversion/batch002_pre,financial_conversion,complete,financial_conversion_summary.json,,,,,,,,,,,,,,,False,,1
financial_conversion/batch009_pre,financial_conversion,complete,financial_conversion_summary.json,,,,,,,,,,,,,,,False,,1
financial_conversion/batch037_fp_refresh,financial_conversion,complete,financial_conversion_summary.json,,,,,,,,,,,,,,,False,False,1
financial_conversion/batch040_threshold_gated_pending_probe,financial_conversion,complete,financial_conversion_summary.json,,,,,,,,,,,,,,,False,False,1
financial_conversion/batch043_all79_precise_split_cash_flow_label,financial_conversion,complete,financial_conversion_summary.json,,,,,,,,,,,,,,,False,False,1
financial_conversion/batch044_cash_flow_label_bundle_probe,financial_conversion,complete,financial_conversion_summary.json,,,,,,,,,,,,,,,False,False,1
financial_conversion/batch045_cash_period_narrative_bundle_probe,financial_conversion,complete,financial_conversion_summary.json,,,,,,,,,,,,,,,False,False,1
financial_conversion/batch046_all79_cash_period_narrative_bundle,financial_conversion,complete,financial_conversion_summary.json,,,,,,,,,,,,,,,False,False,1
financial_conversion/batch048_all79_localized_concentration_periods,financial_conversion,complete,financial_conversion_summary.json,,,,,,,,,,,,,,,False,False,1
